VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,SbUnitID,TIMEFRAME,LAT,LON
4,,NORRISTOWN,W,83709,12448,12448 W NORRISTOWN,,Boise,43.59635405,-116.3374012
5,,NORRISTOWN,W,83709,12566,12566 W NORRISTOWN,,Boise,43.59622733,-116.338812
4,,NORRISTOWN,W,83709,12472,12472 W NORRISTOWN,,Boise,43.59624085,-116.337712
6,,NORRISTOWN,W,83709,12644,12644 W NORRISTOWN,,Boise,43.59621863,-116.3399291
2,,PIKESVILLE,S,83709,952,952 S PIKESVILLE,,Boise,43.59629471,-116.3362033
9,,PIKESVILLE,S,83709,959,959 S PIKESVILLE,,Boise,43.59626438,-116.3367021
5,,NORRISTOWN,W,83709,12522,12522 W NORRISTOWN,,Boise,43.59624792,-116.3383353
4,,NORRISTOWN,W,83709,12436,12436 W NORRISTOWN,,Boise,43.59624741,-116.337269
5,,NORRISTOWN,W,83709,12598,12598 W NORRISTOWN,,Boise,43.5962246,-116.3394013
0,,PIKESVILLE,S,83709,960,960 S PIKESVILLE,,Boise,43.59611599,-116.3361846
5,,NORRISTOWN,W,83709,12584,12584 W NORRISTOWN,,Boise,43.59606329,-116.3394658
5,,NORRISTOWN,W,83709,12572,12572 W NORRISTOWN,,Boise,43.59607125,-116.3388169
5,,NORRISTOWN,W,83709,12510,12510 W NORRISTOWN,,Boise,43.59605674,-116.338407
4,,NORRISTOWN,W,83709,12486,12486 W NORRISTOWN,,Boise,43.5961051,-116.337751
5,,PIKESVILLE,S,83709,975,975 S PIKESVILLE,,Boise,43.59607455,-116.3366367
4,,NORRISTOWN,W,83709,12424,12424 W NORRISTOWN,,Boise,43.59605043,-116.3373332
8,,PIKESVILLE,S,83709,978,978 S PIKESVILLE,,Boise,43.59593697,-116.3361913
2,,PIKESVILLE,S,83709,1026,1026 S PIKESVILLE,,Boise,43.59573426,-116.3362054
4,,NORRISTOWN,W,83709,12423,12423 W NORRISTOWN,,Boise,43.59575263,-116.3371089
4,,NORRISTOWN,W,83709,12401,12401 W NORRISTOWN,,Boise,43.59575389,-116.3368626
4,,NORRISTOWN,W,83709,12447,12447 W NORRISTOWN,,Boise,43.59573324,-116.3373795
4,,NORRISTOWN,W,83709,12491,12491 W NORRISTOWN,,Boise,43.5957361,-116.3379074
4,,NORRISTOWN,W,83709,12469,12469 W NORRISTOWN,,Boise,43.59573149,-116.3376696
4,,PIKESVILLE,S,83709,1044,1044 S PIKESVILLE,,Boise,43.59553162,-116.3362034
9,,WINTHROP,S,83709,989,989 S WINTHROP,,Boise,43.59603082,-116.3399256
7,,WINTHROP,S,83709,997,997 S WINTHROP,,Boise,43.59584933,-116.3400135
3,,WINTHROP,S,83709,1032,1032 S WINTHROP,,Boise,43.59552723,-116.3396926
5,,WINTHROP,S,83709,1054,1054 S WINTHROP,,Boise,43.59534031,-116.3397663
7,,WINTHROP,S,83709,1076,1076 S WINTHROP,,Boise,43.5951565,-116.3398051
2,,CAMAS,W,83709,12250,12250 W CAMAS,,Boise,43.59529708,-116.3348009
3,,BRADDOCK,W,83709,12311,12311 W BRADDOCK,,Boise,43.59912319,-116.3368356
3,,NORRISTOWN,W,83709,12375,12375 W NORRISTOWN,,Boise,43.59573889,-116.3366143
5,,LEWISBURG,W,83709,12515,12515 W LEWISBURG,,Boise,43.59499635,-116.3385368
5,,LEWISBURG,W,83709,12523,12523 W LEWISBURG,,Boise,43.59484661,-116.3387514
4,,CAMAS,W,83709,12495,12495 W CAMAS,,Boise,43.59454227,-116.3379337
4,,OVERLAND,W,83709,12400,12400 W OVERLAND,,Boise,43.59052611,-116.3371955
4,,CROMWELL,S,83709,154,154 S CROMWELL,,Boise,43.60331716,-116.3359223
7,,CROMWELL,S,83709,157,157 S CROMWELL,,Boise,43.60325922,-116.3361749
2,,CROMWELL,S,83709,172,172 S CROMWELL,,Boise,43.60323242,-116.3356667
5,,CROMWELL,S,83709,175,175 S CROMWELL,,Boise,43.60306235,-116.3361369
0,,CROMWELL,S,83709,190,190 S CROMWELL,,Boise,43.60300094,-116.3355049
3,,CROMWELL,S,83709,193,193 S CROMWELL,,Boise,43.60289158,-116.3359288
8,,CROMWELL,S,83709,208,208 S CROMWELL,,Boise,43.60280395,-116.3353379
1,,CROMWELL,S,83709,211,211 S CROMWELL,,Boise,43.60272115,-116.3356714
6,,CROMWELL,S,83709,226,226 S CROMWELL,,Boise,43.60261116,-116.3351879
9,,CROMWELL,S,83709,229,229 S CROMWELL,,Boise,43.60249852,-116.3354918
5,,CROMWELL,S,83709,265,265 S CROMWELL,,Boise,43.60226349,-116.3353194
4,,BRADDOCK,W,83709,12416,12416 W BRADDOCK,,Boise,43.60184359,-116.3372338
4,,RIDGE,W,83709,12427,12427 W VIEW RIDGE,,Boise,43.60274405,-116.3372318
3,,RIDGE,W,83709,12381,12381 W VIEW RIDGE,,Boise,43.60250743,-116.3368405
3,,RIDGE,W,83709,12363,12363 W VIEW RIDGE,,Boise,43.60228327,-116.3366241
3,,RIDGE,W,83709,12346,12346 W VIEW RIDGE,,Boise,43.60212185,-116.3361287
3,,RIDGE,W,83709,12345,12345 W VIEW RIDGE,,Boise,43.60199147,-116.3364497
5,,ROCKBURY,W,83709,12520,12520 W ROCKBURY,,Boise,43.60056126,-116.3383796
4,,ROCKBURY,W,83709,12496,12496 W ROCKBURY,,Boise,43.6005727,-116.3381821
4,,ROCKBURY,W,83709,12441,12441 W ROCKBURY,,Boise,43.60049197,-116.3374962
5,,RIDGE,W,83709,12577,12577 W VIEW RIDGE,,Boise,43.60272463,-116.3390801
5,,TRAFALGER,W,83709,12573,12573 W TRAFALGER,,Boise,43.60110102,-116.3393092
3,,ROCKBURY,W,83709,12391,12391 W ROCKBURY,,Boise,43.60101108,-116.3367973
4,,ROCKBURY,W,83709,12403,12403 W ROCKBURY,,Boise,43.60057359,-116.3371262
3,,OLDHAM,W,83709,12332,12332 W OLDHAM,,Boise,43.60046475,-116.3361201
3,,BRADDOCK,W,83709,12385,12385 W BRADDOCK,,Boise,43.60024638,-116.3366276
3,,BRADDOCK,W,83709,12357,12357 W BRADDOCK,,Boise,43.60008697,-116.336394
3,,BRADDOCK,W,83709,12349,12349 W BRADDOCK,,Boise,43.59992734,-116.3361851
2,,OLDHAM,W,83709,12219,12219 W OLDHAM,,Boise,43.60009679,-116.3353692
3,,OLDHAM,W,83709,12320,12320 W OLDHAM,,Boise,43.60059207,-116.3358739
2,,OLDHAM,W,83709,12297,12297 W OLDHAM,,Boise,43.60032607,-116.3354269
3,,OLDHAM,W,83709,12325,12325 W OLDHAM,,Boise,43.600238,-116.3359166
3,,ROCKBURY,W,83709,12359,12359 W ROCKBURY,,Boise,43.60107963,-116.3364449
3,,ROCKBURY,W,83709,12337,12337 W ROCKBURY,,Boise,43.60113418,-116.3360863
3,,ROCKBURY,W,83709,12398,12398 W ROCKBURY,,Boise,43.601206,-116.3368185
4,,BRADDOCK,W,83709,12445,12445 W BRADDOCK,,Boise,43.60137803,-116.3373382
4,,BRADDOCK,W,83709,12439,12439 W BRADDOCK,,Boise,43.60111312,-116.3372331
4,,BRADDOCK,W,83709,12427,12427 W BRADDOCK,,Boise,43.60092837,-116.3371734
4,,ROCKBURY,W,83709,12444,12444 W ROCKBURY,,Boise,43.60068419,-116.3375948
4,,ROCKBURY,W,83709,12488,12488 W ROCKBURY,,Boise,43.60063127,-116.3378997
4,,ROCKBURY,W,83709,12485,12485 W ROCKBURY,,Boise,43.60040317,-116.3378406
4,,ROCKBURY,W,83709,12497,12497 W ROCKBURY,,Boise,43.60034242,-116.3382041
6,,RIDGE,W,83709,12622,12622 W VIEW RIDGE,,Boise,43.60298576,-116.3402383
4,,RIDGE,W,83709,12459,12459 W VIEW RIDGE,,Boise,43.60268837,-116.3376637
5,,RIDGE,W,83709,12551,12551 W VIEW RIDGE,,Boise,43.60267381,-116.3387695
4,,RIDGE,W,83709,12485,12485 W VIEW RIDGE,,Boise,43.60264287,-116.3380273
5,,RIDGE,W,83709,12523,12523 W VIEW RIDGE,,Boise,43.60263617,-116.3383973
5,,BRADDOCK,W,83709,12576,12576 W BRADDOCK,,Boise,43.60221039,-116.3391829
